ID	Activity	Unitno	ActionDateTime	UserID	ActionType	Identifier	TableName	Sequence	PPID
12268824	10	A111111	2017-12-29 13:00:20.190	26619	2	3448354	CasenoteTrackingCasenoteVolume	2	NULL
12268839	10	A111111	2017-12-29 13:00:20.190	26619	1	5844588	CasenoteTrackingHistory	1	NULL
12313248	1	A111111	2017-12-30 15:11:15.967	27157	2	334821	ImsEventMovement	4	NULL
12447861	7	A111111	2018-01-03 08:34:34.287	29356	1	292837	CodingMedicodeRecord	1	NULL
12447865	7	A111111	2018-01-03 08:31:49.703	29356	1	292829	CodingMedicodeRecord	1	NULL
12447875	7	A111111	2018-01-03 08:31:49.703	29356	1	292829	CodingEpisodeInformation	1	NULL
12447883	7	A111111	2018-01-03 08:34:34.287	29356	1	292837	CodingEpisodeInformation	1	NULL
12447897	7	A111111	2018-01-03 08:31:49.703	29356	1	715411	CodingProcedureDetails	1	NULL
12447898	7	A111111	2018-01-03 08:31:49.703	29356	1	715412	CodingProcedureDetails	1	NULL
12447899	7	A111111	2018-01-03 08:31:49.703	29356	1	715410	CodingProcedureDetails	1	NULL
12447911	7	A111111	2018-01-03 08:34:34.287	29356	1	715425	CodingProcedureDetails	1	NULL
12447912	7	A111111	2018-01-03 08:34:34.287	29356	1	715426	CodingProcedureDetails	1	NULL
12447913	7	A111111	2018-01-03 08:34:34.287	29356	1	715424	CodingProcedureDetails	1	NULL
12447928	7	A111111	2018-01-03 08:34:34.287	29356	1	1584389	CodingDiagnosisDetails	1	NULL
12447932	7	A111111	2018-01-03 08:31:49.703	29356	1	1584363	CodingDiagnosisDetails	1	NULL
12447936	7	A111111	2018-01-03 08:31:49.703	29356	1	1584362	CodingDiagnosisDetails	1	NULL
12447949	7	A111111	2018-01-03 08:34:34.287	29356	1	1584390	CodingDiagnosisDetails	1	NULL
12540420	10	A111111	2018-01-04 08:24:44.647	29534	2	1042536	CasenoteTrackingCasenoteRequestVolume	3	NULL
12540421	10	A111111	2018-01-04 08:24:44.647	29534	2	3448354	CasenoteTrackingCasenoteVolume	3	NULL
12540426	10	A111111	2018-01-04 08:24:44.647	29534	1	5853009	CasenoteTrackingHistory	1	NULL
12541842	7	A111111	2018-01-04 08:34:57.257	26435	1	293666	CodingMedicodeRecord	1	NULL
12541844	7	A111111	2018-01-04 08:34:32.340	26435	1	293665	CodingMedicodeRecord	1	NULL
12541848	7	A111111	2018-01-04 08:33:59.333	26435	1	293662	CodingMedicodeRecord	1	NULL
12541864	7	A111111	2018-01-04 08:33:59.333	26435	1	293662	CodingEpisodeInformation	1	NULL
12541867	7	A111111	2018-01-04 08:34:32.340	26435	1	293665	CodingEpisodeInformation	1	NULL
12541868	7	A111111	2018-01-04 08:34:57.257	26435	1	293666	CodingEpisodeInformation	1	NULL
12541887	7	A111111	2018-01-04 08:34:32.340	26435	1	717311	CodingProcedureDetails	1	NULL
12541888	7	A111111	2018-01-04 08:34:32.340	26435	1	717310	CodingProcedureDetails	1	NULL
12541889	7	A111111	2018-01-04 08:34:32.340	26435	1	717309	CodingProcedureDetails	1	NULL
12541890	7	A111111	2018-01-04 08:34:57.257	26435	1	717312	CodingProcedureDetails	1	NULL
12541891	7	A111111	2018-01-04 08:34:57.257	26435	1	717313	CodingProcedureDetails	1	NULL
12541892	7	A111111	2018-01-04 08:34:57.257	26435	1	717314	CodingProcedureDetails	1	NULL
12541896	7	A111111	2018-01-04 08:34:57.257	26435	1	1588659	CodingDiagnosisDetails	1	NULL
12541897	7	A111111	2018-01-04 08:33:59.333	26435	1	1588648	CodingDiagnosisDetails	1	NULL
12541904	7	A111111	2018-01-04 08:34:57.257	26435	1	1588661	CodingDiagnosisDetails	1	NULL
12541910	7	A111111	2018-01-04 08:34:32.340	26435	1	1588655	CodingDiagnosisDetails	1	NULL
12541924	7	A111111	2018-01-04 08:34:32.340	26435	1	1588654	CodingDiagnosisDetails	1	NULL
12541927	7	A111111	2018-01-04 08:34:32.340	26435	1	1588657	CodingDiagnosisDetails	1	NULL
12541928	7	A111111	2018-01-04 08:33:59.333	26435	1	1588646	CodingDiagnosisDetails	1	NULL
12541933	7	A111111	2018-01-04 08:34:57.257	26435	1	1588658	CodingDiagnosisDetails	1	NULL
12541941	7	A111111	2018-01-04 08:33:59.333	26435	1	1588645	CodingDiagnosisDetails	1	NULL
12541943	7	A111111	2018-01-04 08:34:57.257	26435	1	1588660	CodingDiagnosisDetails	1	NULL
12541946	7	A111111	2018-01-04 08:34:32.340	26435	1	1588656	CodingDiagnosisDetails	1	NULL
12541949	7	A111111	2018-01-04 08:33:59.333	26435	1	1588647	CodingDiagnosisDetails	1	NULL
12542426	7	A111111	2018-01-04 08:36:24.727	26435	1	293674	CodingMedicodeRecord	1	NULL
12542434	7	A111111	2018-01-04 08:36:54.100	26435	1	293675	CodingMedicodeRecord	1	NULL
12542447	7	A111111	2018-01-04 08:36:24.727	26435	1	293674	CodingEpisodeInformation	1	NULL
12542448	7	A111111	2018-01-04 08:36:54.100	26435	1	293675	CodingEpisodeInformation	1	NULL
12542472	7	A111111	2018-01-04 08:36:54.100	26435	1	717330	CodingProcedureDetails	1	NULL
12542473	7	A111111	2018-01-04 08:36:54.100	26435	1	717329	CodingProcedureDetails	1	NULL
12542474	7	A111111	2018-01-04 08:36:54.100	26435	1	717328	CodingProcedureDetails	1	NULL
12542512	7	A111111	2018-01-04 08:36:54.100	26435	1	1588700	CodingDiagnosisDetails	1	NULL
12542517	7	A111111	2018-01-04 08:36:54.100	26435	1	1588702	CodingDiagnosisDetails	1	NULL
12542537	7	A111111	2018-01-04 08:36:54.100	26435	1	1588701	CodingDiagnosisDetails	1	NULL
12542548	7	A111111	2018-01-04 08:36:24.727	26435	1	1588695	CodingDiagnosisDetails	1	NULL
12542549	7	A111111	2018-01-04 08:36:54.100	26435	1	1588699	CodingDiagnosisDetails	1	NULL
12542554	7	A111111	2018-01-04 08:36:24.727	26435	1	1588698	CodingDiagnosisDetails	1	NULL
12542555	7	A111111	2018-01-04 08:36:24.727	26435	1	1588696	CodingDiagnosisDetails	1	NULL
12542559	7	A111111	2018-01-04 08:36:24.727	26435	1	1588697	CodingDiagnosisDetails	1	NULL
12692262	7	A111111	2018-01-05 13:50:46.650	27119	1	294897	CodingMedicodeRecord	1	NULL
12692264	7	A111111	2018-01-05 13:51:56.713	27119	1	294901	CodingMedicodeRecord	1	NULL
12692265	7	A111111	2018-01-05 13:50:15.997	27119	1	294895	CodingMedicodeRecord	1	NULL
12692270	7	A111111	2018-01-05 13:50:29.117	27119	1	294896	CodingMedicodeRecord	1	NULL
12692278	7	A111111	2018-01-05 13:51:27.650	27119	1	294899	CodingMedicodeRecord	1	NULL
12692280	7	A111111	2018-01-05 13:50:15.997	27119	1	294895	CodingEpisodeInformation	1	NULL
12692281	7	A111111	2018-01-05 13:50:29.117	27119	1	294896	CodingEpisodeInformation	1	NULL
12692282	7	A111111	2018-01-05 13:50:46.650	27119	1	294897	CodingEpisodeInformation	1	NULL
12692284	7	A111111	2018-01-05 13:51:27.650	27119	1	294899	CodingEpisodeInformation	1	NULL
12692286	7	A111111	2018-01-05 13:51:56.713	27119	1	294901	CodingEpisodeInformation	1	NULL
12692294	7	A111111	2018-01-05 13:50:15.997	27119	1	720183	CodingProcedureDetails	1	NULL
12692295	7	A111111	2018-01-05 13:50:15.997	27119	1	720182	CodingProcedureDetails	1	NULL
12692296	7	A111111	2018-01-05 13:50:15.997	27119	1	720184	CodingProcedureDetails	1	NULL
12692297	7	A111111	2018-01-05 13:50:29.117	27119	1	720187	CodingProcedureDetails	1	NULL
12692298	7	A111111	2018-01-05 13:50:29.117	27119	1	720185	CodingProcedureDetails	1	NULL
12692299	7	A111111	2018-01-05 13:50:29.117	27119	1	720186	CodingProcedureDetails	1	NULL
12692300	7	A111111	2018-01-05 13:50:46.650	27119	1	720188	CodingProcedureDetails	1	NULL
12692301	7	A111111	2018-01-05 13:50:46.650	27119	1	720189	CodingProcedureDetails	1	NULL
12692302	7	A111111	2018-01-05 13:50:46.650	27119	1	720190	CodingProcedureDetails	1	NULL
12692303	7	A111111	2018-01-05 13:51:27.650	27119	1	720191	CodingProcedureDetails	1	NULL
12692304	7	A111111	2018-01-05 13:51:27.650	27119	1	720193	CodingProcedureDetails	1	NULL
12692305	7	A111111	2018-01-05 13:51:27.650	27119	1	720192	CodingProcedureDetails	1	NULL
12692306	7	A111111	2018-01-05 13:51:56.713	27119	1	720196	CodingProcedureDetails	1	NULL
12692307	7	A111111	2018-01-05 13:51:56.713	27119	1	720194	CodingProcedureDetails	1	NULL
12692308	7	A111111	2018-01-05 13:51:56.713	27119	1	720195	CodingProcedureDetails	1	NULL
12692346	7	A111111	2018-01-05 13:51:56.713	27119	1	1596732	CodingDiagnosisDetails	1	NULL
12692349	7	A111111	2018-01-05 13:50:15.997	27119	1	1596703	CodingDiagnosisDetails	1	NULL
12692351	7	A111111	2018-01-05 13:51:27.650	27119	1	1596721	CodingDiagnosisDetails	1	NULL
12692356	7	A111111	2018-01-05 13:50:29.117	27119	1	1596708	CodingDiagnosisDetails	1	NULL
12692363	7	A111111	2018-01-05 13:50:29.117	27119	1	1596707	CodingDiagnosisDetails	1	NULL
12692370	7	A111111	2018-01-05 13:51:27.650	27119	1	1596722	CodingDiagnosisDetails	1	NULL
12692371	7	A111111	2018-01-05 13:50:46.650	27119	1	1596710	CodingDiagnosisDetails	1	NULL
12692372	7	A111111	2018-01-05 13:51:27.650	27119	1	1596720	CodingDiagnosisDetails	1	NULL
12692374	7	A111111	2018-01-05 13:51:56.713	27119	1	1596730	CodingDiagnosisDetails	1	NULL
12692380	7	A111111	2018-01-05 13:51:56.713	27119	1	1596733	CodingDiagnosisDetails	1	NULL
12692381	7	A111111	2018-01-05 13:50:46.650	27119	1	1596712	CodingDiagnosisDetails	1	NULL
12692394	7	A111111	2018-01-05 13:50:46.650	27119	1	1596713	CodingDiagnosisDetails	1	NULL
12692397	7	A111111	2018-01-05 13:51:27.650	27119	1	1596719	CodingDiagnosisDetails	1	NULL
12692403	7	A111111	2018-01-05 13:50:29.117	27119	1	1596709	CodingDiagnosisDetails	1	NULL
12692405	7	A111111	2018-01-05 13:50:29.117	27119	1	1596706	CodingDiagnosisDetails	1	NULL
12692406	7	A111111	2018-01-05 13:51:56.713	27119	1	1596731	CodingDiagnosisDetails	1	NULL
12692408	7	A111111	2018-01-05 13:50:15.997	27119	1	1596704	CodingDiagnosisDetails	1	NULL
12692417	7	A111111	2018-01-05 13:50:15.997	27119	1	1596702	CodingDiagnosisDetails	1	NULL
12692419	7	A111111	2018-01-05 13:50:15.997	27119	1	1596705	CodingDiagnosisDetails	1	NULL
12692421	7	A111111	2018-01-05 13:50:46.650	27119	1	1596711	CodingDiagnosisDetails	1	NULL
12711313	10	A111111	2018-01-05 15:53:27.537	26962	2	3448354	CasenoteTrackingCasenoteVolume	4	NULL
12711502	10	A111111	2018-01-05 15:53:27.537	26962	1	5859145	CasenoteTrackingHistory	1	NULL
